0.9055 | (30, 30) | 8 | (10, 10) | (1, 1) | L1 | linear | ovr | _feature_vectors_image-size=30*30_block-size=1*1_block-norm=L1_cell-size=10*10_orientations=8.tiff
0.9055 | (30, 30) | 8 | (10, 10) | (1, 1) | L1 | linear | ovo | _feature_vectors_image-size=30*30_block-size=1*1_block-norm=L1_cell-size=10*10_orientations=8.tiff
0.94 | (30, 30) | 8 | (10, 10) | (1, 1) | L1 | rbf | ovr | _feature_vectors_image-size=30*30_block-size=1*1_block-norm=L1_cell-size=10*10_orientations=8.tiff
0.94 | (30, 30) | 8 | (10, 10) | (1, 1) | L1 | rbf | ovo | _feature_vectors_image-size=30*30_block-size=1*1_block-norm=L1_cell-size=10*10_orientations=8.tiff
0.9165 | (30, 30) | 8 | (10, 10) | (1, 1) | L2 | linear | ovr | _feature_vectors_image-size=30*30_block-size=1*1_block-norm=L2_cell-size=10*10_orientations=8.tiff
0.9165 | (30, 30) | 8 | (10, 10) | (1, 1) | L2 | linear | ovo | _feature_vectors_image-size=30*30_block-size=1*1_block-norm=L2_cell-size=10*10_orientations=8.tiff
0.9445 | (30, 30) | 8 | (10, 10) | (1, 1) | L2 | rbf | ovr | _feature_vectors_image-size=30*30_block-size=1*1_block-norm=L2_cell-size=10*10_orientations=8.tiff
0.9445 | (30, 30) | 8 | (10, 10) | (1, 1) | L2 | rbf | ovo | _feature_vectors_image-size=30*30_block-size=1*1_block-norm=L2_cell-size=10*10_orientations=8.tiff
0.924 | (30, 30) | 8 | (10, 10) | (2, 2) | L1 | linear | ovr | _feature_vectors_image-size=30*30_block-size=2*2_block-norm=L1_cell-size=10*10_orientations=8.tiff
0.924 | (30, 30) | 8 | (10, 10) | (2, 2) | L1 | linear | ovo | _feature_vectors_image-size=30*30_block-size=2*2_block-norm=L1_cell-size=10*10_orientations=8.tiff
0.9535 | (30, 30) | 8 | (10, 10) | (2, 2) | L1 | rbf | ovr | _feature_vectors_image-size=30*30_block-size=2*2_block-norm=L1_cell-size=10*10_orientations=8.tiff
0.9535 | (30, 30) | 8 | (10, 10) | (2, 2) | L1 | rbf | ovo | _feature_vectors_image-size=30*30_block-size=2*2_block-norm=L1_cell-size=10*10_orientations=8.tiff
0.928 | (30, 30) | 8 | (10, 10) | (2, 2) | L2 | linear | ovr | _feature_vectors_image-size=30*30_block-size=2*2_block-norm=L2_cell-size=10*10_orientations=8.tiff
0.928 | (30, 30) | 8 | (10, 10) | (2, 2) | L2 | linear | ovo | _feature_vectors_image-size=30*30_block-size=2*2_block-norm=L2_cell-size=10*10_orientations=8.tiff
0.957 | (30, 30) | 8 | (10, 10) | (2, 2) | L2 | rbf | ovr | _feature_vectors_image-size=30*30_block-size=2*2_block-norm=L2_cell-size=10*10_orientations=8.tiff
